date	reported	nowcast_med	nowcast_lwr	nowcast_upr
2021-10-25	2310	6377.5	5527	7414
2021-10-24	2355	4893	4340	5592
2021-10-23	2631	4433.5	4019	4928
2021-10-22	2898	4234	3938	4601
2021-10-21	3344	4319	4096	4584
2021-10-20	3681	4360	4208	4548
2021-10-19	3874	4344	4236	4477
2021-10-18	4025	4349	4268	4446
2021-10-17	3043	3242	3194	3304
2021-10-16	3104	3258	3218	3308
2021-10-15	3033	3152	3120	3193
2021-10-14	2602	2687	2661	2717
2021-10-13	2820	2883	2862	2908
2021-10-12	2793	2837	2821	2857
2021-10-11	2727	2757	2745	2774
2021-10-10	2055	2075	2066	2087
2021-10-09	2025	2041	2032	2051
2021-10-08	1977	1989	1982	1999
2021-10-07	1838	1847	1842	1856
2021-10-06	1929	1929	1929	1929
2021-10-05	2072	2072	2072	2072
2021-10-04	2233	2233	2233	2233
2021-10-03	1681	1681	1681	1681
2021-10-02	1653	1653	1653	1653
2021-10-01	1714	1714	1714	1714
2021-09-30	1662	1662	1662	1662
2021-09-29	1843	1843	1843	1843
2021-09-28	1992	1992	1992	1992
2021-09-27	2012	2012	2012	2012
2021-09-26	1687	1687	1687	1687
2021-09-25	1653	1653	1653	1653
2021-09-24	1687	1687	1687	1687
2021-09-23	1701	1701	1701	1701
2021-09-22	1816	1816	1816	1816
2021-09-21	1742	1742	1742	1742
2021-09-20	1874	1874	1874	1874
2021-09-19	1492	1492	1492	1492
2021-09-18	1422	1422	1422	1422
2021-09-17	1535	1535	1535	1535
2021-09-16	1582	1582	1582	1582
2021-09-15	1759	1759	1759	1759
2021-09-14	1918	1918	1918	1918
2021-09-13	1830	1830	1830	1830
2021-09-12	1652	1652	1652	1652
2021-09-11	1593	1593	1593	1593
2021-09-10	1741	1741	1741	1741
2021-09-09	1666	1666	1666	1666
2021-09-08	1909	1909	1909	1909
2021-09-07	1908	1908	1908	1908
2021-09-06	1986	1986	1986	1986
2021-09-05	1603	1603	1603	1603
2021-09-04	1625	1625	1625	1625
2021-09-03	1659	1659	1659	1659
2021-09-02	1566	1566	1566	1566
2021-09-01	1771	1771	1771	1771
2021-08-31	1685	1685	1685	1685
2021-08-30	1860	1860	1860	1860
2021-08-29	1424	1424	1424	1424
2021-08-28	1448	1448	1448	1448
2021-08-27	1460	1460	1460	1460
2021-08-26	1385	1385	1385	1385
2021-08-25	1589	1589	1589	1589
2021-08-24	1520	1520	1520	1520
2021-08-23	1621	1621	1621	1621
2021-08-22	1329	1329	1329	1329
2021-08-21	1249	1249	1249	1249
2021-08-20	1099	1099	1099	1099
2021-08-19	1021	1021	1021	1021
2021-08-18	1131	1131	1131	1131
2021-08-17	968	968	968	968
2021-08-16	1025	1025	1025	1025
2021-08-15	786	786	786	786
2021-08-14	767	767	767	767
2021-08-13	775	775	775	775
2021-08-12	671	671	671	671
2021-08-11	683	683	683	683
2021-08-10	636	636	636	636
2021-08-09	684	684	684	684
2021-08-08	519	519	519	519
2021-08-07	470	470	470	470
2021-08-06	459	459	459	459
2021-08-05	378	378	378	378
2021-08-04	390	390	390	390
2021-08-03	362	362	362	362
2021-08-02	367	367	367	367
2021-08-01	307	307	307	307
2021-07-31	263	263	263	263
2021-07-30	267	267	267	267
2021-07-29	281	281	281	281
2021-07-28	277	277	277	277
2021-07-27	344	344	344	344
2021-07-26	321	321	321	321
2021-07-25	254	254	254	254
2021-07-24	263	263	263	263
2021-07-23	257	257	257	257
2021-07-22	264	264	264	264
2021-07-21	279	279	279	279
2021-07-20	340	340	340	340
2021-07-19	291	291	291	291
2021-07-18	235	235	235	235
2021-07-17	246	246	246	246
2021-07-16	212	212	212	212
2021-07-15	226	226	226	226
2021-07-14	234	234	234	234
2021-07-13	254	254	254	254
2021-07-12	249	249	249	249
2021-07-11	226	226	226	226
2021-07-10	188	188	188	188
2021-07-09	172	172	172	172
2021-07-08	195	195	195	195
2021-07-07	171	171	171	171
2021-07-06	171	171	171	171
2021-07-05	160	160	160	160
2021-07-04	119	119	119	119
2021-07-03	118	118	118	118
2021-07-02	120	120	120	120
2021-07-01	118	118	118	118
2021-06-30	144	144	144	144
2021-06-29	104	104	104	104
2021-06-28	121	121	121	121
2021-06-27	89	89	89	89
2021-06-26	105	105	105	105
2021-06-25	105	105	105	105
2021-06-24	119	119	119	119
2021-06-23	140	140	140	140
2021-06-22	141	141	141	141
2021-06-21	148	148	148	148
2021-06-20	130	130	130	130
2021-06-19	120	120	120	120
2021-06-18	153	153	153	153
2021-06-17	146	146	146	146
2021-06-16	167	167	167	167
2021-06-15	178	178	178	178
2021-06-14	211	211	211	211
2021-06-13	178	178	178	178
2021-06-12	185	185	185	185
2021-06-11	220	220	220	220
2021-06-10	266	266	266	266
2021-06-09	295	295	295	295
2021-06-08	356	356	356	356
2021-06-07	414	414	414	414
2021-06-06	365	365	365	365
2021-06-05	364	364	364	364
2021-06-04	400	400	400	400
2021-06-03	390	390	390	390
2021-06-02	468	468	468	468
2021-06-01	438	438	438	438
2021-05-31	475	475	475	475
2021-05-30	402	402	402	402
2021-05-29	489	489	489	489
2021-05-28	547	547	547	547
2021-05-27	587	587	587	587
