"date","age60","reported","nowcast","nowcast_lwr","nowcast_upr","reported7","nowcast7","nowcast7_lwr","nowcast7_upr","F_est","F_0.025","F_0.975","scale_factor"
2021-12-09,"0-60",40,117.9,99,141,4.74386573229927,7.67900204111615,7.24118712000747,8.18160103169676,0.3391389768162,0.373702227487226,0.303842544042389,131.24737
2021-12-09,"60+",55,175.2,148,206,20.9875810349916,34.4663344852121,32.7192449647389,36.4609986881355,0.313927397504175,0.347201537382883,0.280357081097603,35.54483
2021-12-09,"alle",95,293.1,256,338,9.14304035197048,14.9336325748851,14.263142949074,15.7184102050959,NA,NA,NA,95.70254
2021-12-08,"0-60",66,126.2,110,145,5.25586886199677,7.63407115422433,7.27253425039712,8.05621251013818,0.523131370216213,0.556460162962194,0.487762630436925,131.24737
2021-12-08,"60+",95,190.4,169,215,24.3917329186832,35.9686626718991,34.4635211365478,37.6426051271029,0.499013696304337,0.532271359180538,0.464538917489058,35.54483
2021-12-08,"alle",161,316.5,286,350,10.438304401833,15.3077353092866,14.7431525675524,15.9393670136019,NA,NA,NA,95.70254
2021-12-07,"0-60",70,105.7,94,119,5.44395164433462,7.39060844153144,7.07400242459605,7.74274120624176,0.662117216839404,0.689466377781191,0.632336343387823,131.24737
2021-12-07,"60+",122,189.8,173,209,26.4454774435551,36.4666253854639,35.1387248159578,37.9520734801658,0.642797664215667,0.670455646309339,0.613340820338755,35.54483
2021-12-07,"alle",192,295.5,273,320,11.1316516285241,15.265067787644,14.7812485690189,15.8098406086156,NA,NA,NA,95.70254
2021-12-06,"0-60",41,57.1,50,66,5.71562677437819,7.46793136315922,7.16804381576497,7.80543546702104,0.717933656910947,0.743132361629018,0.689882799125802,131.24737
2021-12-06,"60+",100,142.2,129,156,28.3866880218586,37.5047510425567,36.292197768283,38.8804785393544,0.70299387631846,0.728467272602364,0.675625959875214,35.54483
2021-12-06,"alle",141,199.4,184,217,11.8554756563884,15.6018364406083,15.1622085836844,16.1069894200547,NA,NA,NA,95.70254
2021-12-05,"0-60",53,73,64,83,6.14403755636998,7.87439915387826,7.57555651083033,8.20249911862318,0.726374159005739,0.750246781485622,0.698328562574585,131.24737
2021-12-05,"60+",103,144.6,131,159,29.8777628138888,38.5541300943063,37.3894037473242,39.8932840584693,0.712554494238196,0.736589373740575,0.685402032971121,35.54483
2021-12-05,"alle",156,217.5,201,236,12.5716804839594,16.1824195029584,15.7565062065625,16.6631910414662,NA,NA,NA,95.70254
2021-12-04,"0-60",82,116.3,105,130,6.39481459948712,8.06457174490875,7.7740883366314,8.39058190096104,0.704806703517707,0.728465819763584,0.677066086184619,131.24737
2021-12-04,"60+",124,179.4,164,196,30.4966995200146,38.6525972975535,37.5582046671766,39.9214175451113,0.691041154188119,0.714542593544536,0.665432785404526,35.54483
2021-12-04,"alle",206,295.8,276,319,12.9221636974516,16.3492799893819,15.9393670136019,16.8231942476257,NA,NA,NA,95.70254
2021-12-03,"0-60",102,138.7,127,152,6.49930503411926,8.02068576236326,7.75319024970497,8.32788764018176,0.735650421992456,0.757575116402677,0.710172319896696,131.24737
2021-12-03,"60+",147,203.5,189,220,32.8317789113072,40.6866483817759,39.5838157054064,41.918895096699,0.722331275662822,0.743715992739478,0.698938885785855,35.54483
2021-12-03,"alle",249,342.2,322,365,13.6307493247293,16.8681475293562,16.4803302344268,17.3184422666908,NA,NA,NA,95.70254
2021-12-02,"0-60",89,113.7,104,124,6.6769387729939,8.05934722317715,7.79498642355783,8.34878572710818,0.7828586883281,0.801115534120776,0.761390936235477,131.24737
2021-12-02,"60+",176,228.6,214,245,34.8292564628949,42.2677503310608,41.215557930647,43.4381033753713,0.769966336409639,0.787963861107442,0.749093325768371,35.54483
2021-12-02,"alle",265,342.3,324,363,14.3012389505405,17.3237757068961,16.9451014523186,17.7527366834093,NA,NA,NA,95.70254
2021-12-01,"0-60",84,102.8,95,112,6.85457251186855,8.14711918826815,7.89947685818997,8.4323780748139,0.816993309472971,0.833296659365757,0.797680942125249,131.24737
2021-12-01,"60+",168,208.1,196,222,35.223125275884,41.9836021159758,40.9904900375104,43.1005015356664,0.807317053684305,0.823474383222474,0.789455878242681,35.54483
2021-12-01,"alle",252,310.9,295,328,14.5374341596331,17.3108230663974,16.9603398529052,17.7146406819428,NA,NA,NA,95.70254
2021-11-30,"0-60",96,113.1,105,122,7.1889419026914,8.43551278785286,8.19205007515997,8.71450224832068,0.848806023728222,0.862837612615733,0.8324743391212,131.24737
2021-11-30,"60+",191,226.6,215,240,36.7142000679142,43.0779947463527,42.1439629898357,44.1414405414233,0.842797297000323,0.856459061883168,0.827576739639213,35.54483
2021-11-30,"alle",287,339.7,325,356,15.1850661845643,17.8174998859025,17.4784454728502,18.2022695007146,NA,NA,NA,95.70254
2021-11-29,"0-60",82,96,89,104,7.35612659810283,8.54000322248501,8.30698955325533,8.80854363948961,0.85410983291561,0.868768896356657,0.836513036876228,131.24737
2021-11-29,"60+",153,179.6,170,191,38.5147432130073,44.5212426110914,43.6069042952238,45.5481148735273,0.852043899130793,0.865614873078689,0.836400254587164,35.54483
2021-11-29,"alle",235,275.6,263,289,15.794602208029,18.2845568638823,17.9584550913287,18.6518023180198,NA,NA,NA,95.70254
2021-11-28,"0-60",77,91.2,84,100,7.30388138078676,8.4177494139654,8.19205007515997,8.68315511793104,0.844078793675945,0.859659569750076,0.824602494623921,131.24737
2021-11-28,"60+",125,148.1,139,159,38.9930124859227,44.6365899063239,43.7757052150763,45.6325153334536,0.843891339544105,0.858165353591676,0.827328912052773,35.54483
