date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr
2021-10-03;alle;67;68,4;68,1;69,0;550;559,5;557,0;564,0
2021-10-03;ja;34;34,6;34,4;35,0;280;284,2;282,8;287,1
2021-10-03;nein;33;33,8;33,6;34,1;270;275,4;273,8;278,0
2021-10-02;alle;65;66,4;66,1;67,1;541;549,7;547,3;553,9
2021-10-02;ja;37;37,7;37,5;38,2;271;274,8;273,5;277,5
2021-10-02;nein;28;28,7;28,5;29,1;270;274,9;273,4;277,5
2021-10-01;alle;80;82,2;81,6;83,2;540;547,9;545,7;552,0
2021-10-01;ja;35;35,8;35,5;36,4;263;266,3;265,1;269,0
2021-10-01;nein;45;46,3;45,9;47,0;277;281,6;280,2;284,2
2021-09-30;alle;61;62,3;61,9;63,0;528;534,7;532,7;538,4
2021-09-30;ja;35;35,6;35,4;36,2;262;264,9;263,8;267,5
2021-09-30;nein;26;26,6;26,4;27,0;266;269,7;268,5;272,1
2021-09-29;alle;80;81,1;80,8;81,7;532;538,0;536,1;541,7
2021-09-29;ja;34;34,4;34,3;34,7;256;258,6;257,5;261,1
2021-09-29;nein;46;46,7;46,5;47,1;276;279,5;278,2;281,8
2021-09-28;alle;77;78,0;77,7;78,5;522;527,3;525,5;530,7
2021-09-28;ja;41;41,4;41,3;41,8;253;255,3;254,3;257,8
2021-09-28;nein;36;36,5;36,4;36,8;269;271,9;270,8;274,1
2021-09-27;alle;120;121,1;120,8;121,7;512;516,5;515,0;519,8
2021-09-27;ja;64;64,5;64,3;64,9;242;244,0;243,0;246,3
2021-09-27;nein;56;56,6;56,4;57,0;270;272,5;271,5;274,6
2021-09-26;alle;58;58,6;58,4;58,9;467;470,6;469,3;473,5
2021-09-26;ja;25;25,2;25,1;25,4;209;210,6;209,8;212,6
2021-09-26;nein;33;33,3;33,2;33,6;258;260,0;259,1;261,9
2021-09-25;alle;64;64,7;64,4;65,2;463;466,2;464,9;468,8
2021-09-25;ja;29;29,3;29,1;29,6;207;208,4;207,7;210,3
2021-09-25;nein;35;35,4;35,2;35,7;256;257,8;256,9;259,5
2021-09-24;alle;68;68,9;68,6;69,7;462;464,5;463,5;466,6
2021-09-24;ja;34;34,4;34,2;35,0;203;204,1;203,5;205,7
2021-09-24;nein;34;34,5;34,3;34,9;259;260,3;259,7;261,7
2021-09-23;alle;65;65,6;65,4;66,2;467;468,6;467,9;470,0
2021-09-23;ja;29;29,3;29,1;29,7;201;201,7;201,3;202,7
2021-09-23;nein;36;36,4;36,2;36,7;266;266,9;266,4;267,8
2021-09-22;alle;70;70,4;70,2;70,6;491;491,9;491,5;492,7
2021-09-22;ja;31;31,2;31,1;31,3;212;212,4;212,2;213,0
2021-09-22;nein;39;39,2;39,1;39,4;279;279,5;279,3;280,1
2021-09-21;alle;67;67,3;67,2;67,5;489;489,6;489,3;490,1
2021-09-21;ja;30;30,1;30,1;30,3;215;215,3;215,1;215,6
2021-09-21;nein;37;37,2;37,1;37,3;274;274,3;274,2;274,7
2021-09-20;alle;75;75,2;75,1;75,4;511;511,3;511,2;511,6
2021-09-20;ja;31;31,1;31,0;31,2;221;221,1;221,1;221,3
2021-09-20;nein;44;44,1;44,0;44,2;290;290,2;290,1;290,4
2021-09-19;alle;54;54,1;54,1;54,2;535;535,1;535,1;535,2
2021-09-19;ja;23;23,1;23,0;23,1;235;235,1;235,0;235,1
2021-09-19;nein;31;31,1;31,0;31,1;300;300,1;300,0;300,1
2021-09-18;alle;63;63,0;63,0;63,0;553;553,0;553,0;553,0
2021-09-18;ja;25;25,0;25,0;25,0;251;251,0;251,0;251,0
2021-09-18;nein;38;38,0;38,0;38,0;302;302,0;302,0;302,0
2021-09-17;alle;73;73,0;73,0;73,0;568;568,0;568,0;568,0
2021-09-17;ja;32;32,0;32,0;32,0;256;256,0;256,0;256,0
2021-09-17;nein;41;41,0;41,0;41,0;312;312,0;312,0;312,0
2021-09-16;alle;89;89,0;89,0;89,0;575;575,0;575,0;575,0
2021-09-16;ja;40;40,0;40,0;40,0;264;264,0;264,0;264,0
2021-09-16;nein;49;49,0;49,0;49,0;311;311,0;311,0;311,0
2021-09-15;alle;68;68,0;68,0;68,0;571;571,0;571,0;571,0
2021-09-15;ja;34;34,0;34,0;34,0;263;263,0;263,0;263,0
2021-09-15;nein;34;34,0;34,0;34,0;308;308,0;308,0;308,0
2021-09-14;alle;89;89,0;89,0;89,0;588;588,0;588,0;588,0
2021-09-14;ja;36;36,0;36,0;36,0;267;267,0;267,0;267,0
2021-09-14;nein;53;53,0;53,0;53,0;321;321,0;321,0;321,0
2021-09-13;alle;99;99,0;99,0;99,0;595;595,0;595,0;595,0
2021-09-13;ja;45;45,0;45,0;45,0;263;263,0;263,0;263,0
2021-09-13;nein;54;54,0;54,0;54,0;332;332,0;332,0;332,0
2021-09-12;alle;72;72,0;72,0;72,0;588;588,0;588,0;588,0
2021-09-12;ja;39;39,0;39,0;39,0;253;253,0;253,0;253,0
2021-09-12;nein;33;33,0;33,0;33,0;335;335,0;335,0;335,0
2021-09-11;alle;78;78,0;78,0;78,0;585;585,0;585,0;585,0
2021-09-11;ja;30;30,0;30,0;30,0;244;244,0;244,0;244,0
2021-09-11;nein;48;48,0;48,0;48,0;341;341,0;341,0;341,0
2021-09-10;alle;80;80,0;80,0;80,0;578;578,0;578,0;578,0
2021-09-10;ja;40;40,0;40,0;40,0;238;238,0;238,0;238,0
2021-09-10;nein;40;40,0;40,0;40,0;340;340,0;340,0;340,0
2021-09-09;alle;85;85,0;85,0;85,0;609;609,0;609,0;609,0
2021-09-09;ja;39;39,0;39,0;39,0;236;236,0;236,0;236,0
2021-09-09;nein;46;46,0;46,0;46,0;373;373,0;373,0;373,0
2021-09-08;alle;85;85,0;85,0;85,0;618;618,0;618,0;618,0
2021-09-08;ja;38;38,0;38,0;38,0;237;237,0;237,0;237,0
2021-09-08;nein;47;47,0;47,0;47,0;381;381,0;381,0;381,0
2021-09-07;alle;96;96,0;96,0;96,0;634;634,0;634,0;634,0
2021-09-07;ja;32;32,0;32,0;32,0;233;233,0;233,0;233,0
2021-09-07;nein;64;64,0;64,0;64,0;401;401,0;401,0;401,0
2021-09-06;alle;92;92,0;92,0;92,0;606;606,0;606,0;606,0
2021-09-06;ja;35;35,0;35,0;35,0;221;221,0;221,0;221,0
2021-09-06;nein;57;57,0;57,0;57,0;385;385,0;385,0;385,0
2021-09-05;alle;69;69,0;69,0;69,0;581;581,0;581,0;581,0
2021-09-05;ja;30;30,0;30,0;30,0;209;209,0;209,0;209,0
2021-09-05;nein;39;39,0;39,0;39,0;372;372,0;372,0;372,0
2021-09-04;alle;71;71,0;71,0;71,0;568;568,0;568,0;568,0
2021-09-04;ja;24;24,0;24,0;24,0;195;195,0;195,0;195,0
2021-09-04;nein;47;47,0;47,0;47,0;373;373,0;373,0;373,0
2021-09-03;alle;111;111,0;111,0;111,0;570;570,0;570,0;570,0
2021-09-03;ja;38;38,0;38,0;38,0;197;197,0;197,0;197,0
2021-09-03;nein;73;73,0;73,0;73,0;373;373,0;373,0;373,0
2021-09-02;alle;94;94,0;94,0;94,0;523;523,0;523,0;523,0
2021-09-02;ja;40;40,0;40,0;40,0;180;180,0;180,0;180,0
2021-09-02;nein;54;54,0;54,0;54,0;343;343,0;343,0;343,0
2021-09-01;alle;101;101,0;101,0;101,0;486;486,0;486,0;486,0
2021-09-01;ja;34;34,0;34,0;34,0;159;159,0;159,0;159,0
2021-09-01;nein;67;67,0;67,0;67,0;327;327,0;327,0;327,0
2021-08-31;alle;68;68,0;68,0;68,0;463;463,0;463,0;463,0
2021-08-31;ja;20;20,0;20,0;20,0;153;153,0;153,0;153,0
2021-08-31;nein;48;48,0;48,0;48,0;310;310,0;310,0;310,0
2021-08-30;alle;67;67,0;67,0;67,0;466;466,0;466,0;466,0
2021-08-30;ja;23;23,0;23,0;23,0;149;149,0;149,0;149,0
2021-08-30;nein;44;44,0;44,0;44,0;317;317,0;317,0;317,0
2021-08-29;alle;56;56,0;56,0;56,0;484;484,0;484,0;484,0
2021-08-29;ja;16;16,0;16,0;16,0;149;149,0;149,0;149,0
2021-08-29;nein;40;40,0;40,0;40,0;335;335,0;335,0;335,0
2021-08-28;alle;73;73,0;73,0;73,0;487;487,0;487,0;487,0
2021-08-28;ja;26;26,0;26,0;26,0;147;147,0;147,0;147,0
2021-08-28;nein;47;47,0;47,0;47,0;340;340,0;340,0;340,0
2021-08-27;alle;64;64,0;64,0;64,0;460;460,0;460,0;460,0
2021-08-27;ja;21;21,0;21,0;21,0;132;132,0;132,0;132,0
2021-08-27;nein;43;43,0;43,0;43,0;328;328,0;328,0;328,0
2021-08-26;alle;57;57,0;57,0;57,0;462;462,0;462,0;462,0
2021-08-26;ja;19;19,0;19,0;19,0;128;128,0;128,0;128,0
2021-08-26;nein;38;38,0;38,0;38,0;334;334,0;334,0;334,0
2021-08-25;alle;78;78,0;78,0;78,0;444;444,0;444,0;444,0
2021-08-25;ja;28;28,0;28,0;28,0;122;122,0;122,0;122,0
2021-08-25;nein;50;50,0;50,0;50,0;322;322,0;322,0;322,0
2021-08-24;alle;71;71,0;71,0;71,0;411;411,0;411,0;411,0
2021-08-24;ja;16;16,0;16,0;16,0;110;110,0;110,0;110,0
2021-08-24;nein;55;55,0;55,0;55,0;301;301,0;301,0;301,0
2021-08-23;alle;85;85,0;85,0;85,0;384;384,0;384,0;384,0
2021-08-23;ja;23;23,0;23,0;23,0;110;110,0;110,0;110,0
2021-08-23;nein;62;62,0;62,0;62,0;274;274,0;274,0;274,0
2021-08-22;alle;59;59,0;59,0;59,0;340;340,0;340,0;340,0
2021-08-22;ja;14;14,0;14,0;14,0;97;97,0;97,0;97,0
2021-08-22;nein;45;45,0;45,0;45,0;243;243,0;243,0;243,0
2021-08-21;alle;46;46,0;46,0;46,0;317;317,0;317,0;317,0
2021-08-21;ja;11;11,0;11,0;11,0;97;97,0;97,0;97,0
2021-08-21;nein;35;35,0;35,0;35,0;220;220,0;220,0;220,0
2021-08-20;alle;66;66,0;66,0;66,0;301;301,0;301,0;301,0
2021-08-20;ja;17;17,0;17,0;17,0;100;100,0;100,0;100,0
2021-08-20;nein;49;49,0;49,0;49,0;201;201,0;201,0;201,0
2021-08-19;alle;39;39,0;39,0;39,0;261;261,0;261,0;261,0
2021-08-19;ja;13;13,0;13,0;13,0;93;93,0;93,0;93,0
2021-08-19;nein;26;26,0;26,0;26,0;168;168,0;168,0;168,0
2021-08-18;alle;45;45,0;45,0;45,0;246;246,0;246,0;246,0
2021-08-18;ja;16;16,0;16,0;16,0;86;86,0;86,0;86,0
2021-08-18;nein;29;29,0;29,0;29,0;160;160,0;160,0;160,0
2021-08-17;alle;44;44,0;44,0;44,0;227;227,0;227,0;227,0
2021-08-17;ja;16;16,0;16,0;16,0;78;78,0;78,0;78,0
2021-08-17;nein;28;28,0;28,0;28,0;149;149,0;149,0;149,0
2021-08-16;alle;41;41,0;41,0;41,0;202;202,0;202,0;202,0
2021-08-16;ja;10;10,0;10,0;10,0;70;70,0;70,0;70,0
2021-08-16;nein;31;31,0;31,0;31,0;132;132,0;132,0;132,0
2021-08-15;alle;36;36,0;36,0;36,0;187;187,0;187,0;187,0
2021-08-15;ja;14;14,0;14,0;14,0;77;77,0;77,0;77,0
2021-08-15;nein;22;22,0;22,0;22,0;110;110,0;110,0;110,0
2021-08-14;alle;30;30,0;30,0;30,0;166;166,0;166,0;166,0
2021-08-14;ja;14;14,0;14,0;14,0;66;66,0;66,0;66,0
2021-08-14;nein;16;16,0;16,0;16,0;100;100,0;100,0;100,0
2021-08-13;alle;26;26,0;26,0;26,0;155;155,0;155,0;155,0
2021-08-13;ja;10;10,0;10,0;10,0;62;62,0;62,0;62,0
2021-08-13;nein;16;16,0;16,0;16,0;93;93,0;93,0;93,0
2021-08-12;alle;24;24,0;24,0;24,0;151;151,0;151,0;151,0
2021-08-12;ja;6;6,0;6,0;6,0;67;67,0;67,0;67,0
2021-08-12;nein;18;18,0;18,0;18,0;84;84,0;84,0;84,0
2021-08-11;alle;26;26,0;26,0;26,0;138;138,0;138,0;138,0
2021-08-11;ja;8;8,0;8,0;8,0;67;67,0;67,0;67,0
2021-08-11;nein;18;18,0;18,0;18,0;71;71,0;71,0;71,0
2021-08-10;alle;19;19,0;19,0;19,0;126;126,0;126,0;126,0
2021-08-10;ja;8;8,0;8,0;8,0;63;63,0;63,0;63,0
2021-08-10;nein;11;11,0;11,0;11,0;63;63,0;63,0;63,0
2021-08-09;alle;26;26,0;26,0;26,0;129;129,0;129,0;129,0
2021-08-09;ja;17;17,0;17,0;17,0;65;65,0;65,0;65,0
2021-08-09;nein;9;9,0;9,0;9,0;64;64,0;64,0;64,0
2021-08-08;alle;15;15,0;15,0;15,0;115;115,0;115,0;115,0
2021-08-08;ja;3;3,0;3,0;3,0;56;56,0;56,0;56,0
2021-08-08;nein;12;12,0;12,0;12,0;59;59,0;59,0;59,0
2021-08-07;alle;19;19,0;19,0;19,0;108;108,0;108,0;108,0
2021-08-07;ja;10;10,0;10,0;10,0;55;55,0;55,0;55,0
2021-08-07;nein;9;9,0;9,0;9,0;53;53,0;53,0;53,0
2021-08-06;alle;22;22,0;22,0;22,0;105;105,0;105,0;105,0
2021-08-06;ja;15;15,0;15,0;15,0;52;52,0;52,0;52,0
2021-08-06;nein;7;7,0;7,0;7,0;53;53,0;53,0;53,0
2021-08-05;alle;11;11,0;11,0;11,0;100;100,0;100,0;100,0
2021-08-05;ja;6;6,0;6,0;6,0;44;44,0;44,0;44,0
2021-08-05;nein;5;5,0;5,0;5,0;56;56,0;56,0;56,0
2021-08-04;alle;14;14,0;14,0;14,0;98;98,0;98,0;98,0
2021-08-04;ja;4;4,0;4,0;4,0;40;40,0;40,0;40,0
2021-08-04;nein;10;10,0;10,0;10,0;58;58,0;58,0;58,0
2021-08-03;alle;22;22,0;22,0;22,0;98;98,0;98,0;98,0
2021-08-03;ja;10;10,0;10,0;10,0;42;42,0;42,0;42,0
2021-08-03;nein;12;12,0;12,0;12,0;56;56,0;56,0;56,0
2021-08-02;alle;12;12,0;12,0;12,0;98;98,0;98,0;98,0
2021-08-02;ja;8;8,0;8,0;8,0;42;42,0;42,0;42,0
2021-08-02;nein;4;4,0;4,0;4,0;56;56,0;56,0;56,0
2021-08-01;alle;8;8,0;8,0;8,0;107;107,0;107,0;107,0
2021-08-01;ja;2;2,0;2,0;2,0;41;41,0;41,0;41,0
2021-08-01;nein;6;6,0;6,0;6,0;66;66,0;66,0;66,0
2021-07-31;alle;16;16,0;16,0;16,0;108;108,0;108,0;108,0
2021-07-31;ja;7;7,0;7,0;7,0;41;41,0;41,0;41,0
2021-07-31;nein;9;9,0;9,0;9,0;67;67,0;67,0;67,0
2021-07-30;alle;17;17,0;17,0;17,0;100;100,0;100,0;100,0
2021-07-30;ja;7;7,0;7,0;7,0;38;38,0;38,0;38,0
2021-07-30;nein;10;10,0;10,0;10,0;62;62,0;62,0;62,0
2021-07-29;alle;9;9,0;9,0;9,0;92;92,0;92,0;92,0
2021-07-29;ja;2;2,0;2,0;2,0;34;34,0;34,0;34,0
2021-07-29;nein;7;7,0;7,0;7,0;58;58,0;58,0;58,0
2021-07-28;alle;14;14,0;14,0;14,0;90;90,0;90,0;90,0
2021-07-28;ja;6;6,0;6,0;6,0;33;33,0;33,0;33,0
2021-07-28;nein;8;8,0;8,0;8,0;57;57,0;57,0;57,0
2021-07-27;alle;22;22,0;22,0;22,0;86;86,0;86,0;86,0
2021-07-27;ja;10;10,0;10,0;10,0;32;32,0;32,0;32,0
2021-07-27;nein;12;12,0;12,0;12,0;54;54,0;54,0;54,0
2021-07-26;alle;21;21,0;21,0;21,0;76;76,0;76,0;76,0
2021-07-26;ja;7;7,0;7,0;7,0;26;26,0;26,0;26,0
2021-07-26;nein;14;14,0;14,0;14,0;50;50,0;50,0;50,0
2021-07-25;alle;9;9,0;9,0;9,0;68;68,0;68,0;68,0
2021-07-25;ja;2;2,0;2,0;2,0;25;25,0;25,0;25,0
2021-07-25;nein;7;7,0;7,0;7,0;43;43,0;43,0;43,0
2021-07-24;alle;8;8,0;8,0;8,0;64;64,0;64,0;64,0
2021-07-24;ja;4;4,0;4,0;4,0;23;23,0;23,0;23,0
2021-07-24;nein;4;4,0;4,0;4,0;41;41,0;41,0;41,0
2021-07-23;alle;9;9,0;9,0;9,0;67;67,0;67,0;67,0
2021-07-23;ja;3;3,0;3,0;3,0;23;23,0;23,0;23,0
2021-07-23;nein;6;6,0;6,0;6,0;44;44,0;44,0;44,0
2021-07-22;alle;7;7,0;7,0;7,0;71;71,0;71,0;71,0
2021-07-22;ja;1;1,0;1,0;1,0;26;26,0;26,0;26,0
2021-07-22;nein;6;6,0;6,0;6,0;45;45,0;45,0;45,0
2021-07-21;alle;10;10,0;10,0;10,0;69;69,0;69,0;69,0
2021-07-21;ja;5;5,0;5,0;5,0;29;29,0;29,0;29,0
2021-07-21;nein;5;5,0;5,0;5,0;40;40,0;40,0;40,0
2021-07-20;alle;12;12,0;12,0;12,0;68;68,0;68,0;68,0
2021-07-20;ja;4;4,0;4,0;4,0;26;26,0;26,0;26,0
2021-07-20;nein;8;8,0;8,0;8,0;42;42,0;42,0;42,0
2021-07-19;alle;13;13,0;13,0;13,0;67;67,0;67,0;67,0
2021-07-19;ja;6;6,0;6,0;6,0;28;28,0;28,0;28,0
2021-07-19;nein;7;7,0;7,0;7,0;39;39,0;39,0;39,0
2021-07-18;alle;5;5,0;5,0;5,0;60;60,0;60,0;60,0
2021-07-18;ja;0;0,0;0,0;0,0;24;24,0;24,0;24,0
2021-07-18;nein;5;5,0;5,0;5,0;36;36,0;36,0;36,0
2021-07-17;alle;11;11,0;11,0;11,0;60;60,0;60,0;60,0
2021-07-17;ja;4;4,0;4,0;4,0;25;25,0;25,0;25,0
2021-07-17;nein;7;7,0;7,0;7,0;35;35,0;35,0;35,0
2021-07-16;alle;13;13,0;13,0;13,0;56;56,0;56,0;56,0
2021-07-16;ja;6;6,0;6,0;6,0;22;22,0;22,0;22,0
