"date","age60","reported","nowcast","nowcast_lwr","nowcast_upr","reported7","nowcast7","nowcast7_lwr","nowcast7_upr","F_est","F_lwr","F_upr","scale_factor"
2021-11-04,"alle",101,437.7,367.9,537.7,6.58298905341875,12.8817819358971,11.9827163012866,14.132092704029,NA,NA,NA,131.24737
2021-11-04,"ja",68,300.7,252,371.1,14.7138135138078,30.0043635037782,27.7339911317623,33.1581273563553,0.226149401882677,0.26985355343711,0.183249805336008,35.54483
2021-11-04,"nein",33,137.1,115,168.6,3.56312382095606,6.52229292973833,6.10015157382448,7.12102312018051,0.240773415686311,0.286963185624669,0.195715890606246,95.70254
2021-11-03,"alle",122,296.2,264.8,337.4,6.8039458619247,10.8665034583169,10.3522074385186,11.5408026842747,NA,NA,NA,131.24737
2021-11-03,"ja",78,192.4,171.1,220.2,15.0232818668707,24.5549071412073,23.305780334299,26.1979027611048,0.4054746008289,0.455846775540802,0.354187515054472,35.54483
2021-11-03,"nein",44,103.8,92.7,118.4,3.75120660329392,5.78250065254276,5.52022966161609,6.13358851290676,0.423719903851739,0.474409266576827,0.37160854162236,95.70254
2021-11-02,"alle",110,175.8,165.4,189.5,6.90299546573771,9.91257958159466,9.5605725280438,10.3826842396918,NA,NA,NA,131.24737
2021-11-02,"ja",70,113.1,106.2,122.3,15.2764832466494,22.2789080718631,21.4152100319512,23.4323810241883,0.61866025623903,0.659374297316849,0.572338190146953,35.54483
2021-11-02,"nein",40,62.6,58.9,67.5,3.79300277714677,5.31960802712237,5.13257014913084,5.5745646876248,0.638479045749057,0.678779972401209,0.592832758378708,95.70254
2021-11-01,"alle",111,162,153.7,172.9,7.19252507688345,9.88972198071474,9.57733476868908,10.3133495170227,NA,NA,NA,131.24737
2021-11-01,"ja",66,97.7,92.4,104.7,15.867286466133,22.1101071520106,21.3336229206892,23.1426061117749,0.675873298645987,0.714334639904943,0.630498842295341,35.54483
2021-11-01,"nein",45,64.3,61.1,68.6,3.97063651602141,5.35095515751202,5.1795908447153,5.58710353978066,0.699548587123319,0.73705292658841,0.655699337801901,95.70254
2021-10-31,"alle",121,174.1,165.5,185.4,7.08585627277712,9.51104772613729,9.22761347522621,9.89200774080273,NA,NA,NA,131.24737
2021-10-31,"ja",70,102.4,97,109.7,15.5578181130702,21.1704486981651,20.4614848347847,22.1129205006748,0.683472105720038,0.721598615008215,0.638390014706562,35.54483
2021-10-31,"nein",51,71.6,68.2,76.3,3.93928938563177,5.18063574906162,5.02494500145973,5.3937962357112,0.711928960847268,0.747720661185058,0.668825861707291,95.70254
2021-10-30,"alle",164,248.9,236.4,266.1,6.78870746133808,8.91522626320055,8.66607841360936,9.2519949161648,NA,NA,NA,131.24737
2021-10-30,"ja",94,146,137.9,157.1,15.135815813439,20.1126296004229,19.4824394996403,20.9453808050285,0.643964450522394,0.681450896018592,0.598438093832257,35.54483
2021-10-30,"nein",70,103,97.9,109.9,3.68851234251463,4.75744948880145,4.6237017324723,4.94344246244666,0.679852215229404,0.714947260383642,0.63717391998052,95.70254
2021-10-29,"alle",135,196,186.8,208.3,6.51441625077897,8.19749759557087,8.00168414803283,8.46340768580734,NA,NA,NA,131.24737
2021-10-29,"ja",77,114.3,108.4,122.2,14.7138135138078,18.7143953143115,18.2108059034183,19.3811589477288,0.673892567066547,0.710392032186475,0.62995968734487,35.54483
2021-10-29,"nein",58,81.7,78,86.7,3.46908242978713,4.29142215034209,4.18588681136363,4.43666385448077,0.70997753563035,0.743765837472411,0.669019117870187,95.70254
2021-10-28,"alle",130,173.3,166.8,181.7,6.29345944227301,7.66186781495126,7.50186460879178,7.88053886336922,NA,NA,NA,131.24737
2021-10-28,"ja",79,107,102.6,112.6,14.1511437809662,17.4146282314474,17.0038793264731,17.9604178723038,0.73854253479085,0.769769379492388,0.701480418644893,35.54483
2021-10-28,"nein",51,66.3,64,69.5,3.3750410386182,4.03855529853231,3.95391804648027,4.15558458532031,0.769247294026441,0.797442914059433,0.73402169368575,95.70254
2021-10-27,"alle",135,171,165.6,177.9,6.19440983846,7.35557596316025,7.21843035788069,7.54529405046364,NA,NA,NA,131.24737
2021-10-27,"ja",87,111.5,107.8,116.5,13.8979424011875,16.6550240921113,16.3061688577495,17.124853319034,0.78019747785742,0.80732668855278,0.747072918195235,35.54483
2021-10-27,"nein",48,59.5,57.7,61.8,3.33324486476535,3.90271773351052,3.82643971622906,4.00616326379634,0.806796445397333,0.831837790113468,0.776426110196913,95.70254
2021-10-26,"alle",148,172.8,169.2,177.5,6.14869463670015,7.14223835494761,7.021093070284,7.30909884137107,NA,NA,NA,131.24737
2021-10-26,"ja",91,107.1,104.6,110.3,13.1383382618513,15.3890171932177,15.1020556294685,15.7800726575426,0.849324555797444,0.869639928195642,0.825098622694685,35.54483
2021-10-26,"nein",57,65.7,64.3,67.4,3.55267477749284,4.07930656803884,4.00720816814266,4.17648267224673,0.868040841658362,0.886109057225161,0.845433417404125,95.70254
2021-10-25,"alle",97,112.2,109.9,115.5,5.85916502555442,6.7201346586983,6.61270393456265,6.86947098444715,NA,NA,NA,131.24737
2021-10-25,"ja",55,64.2,62.7,66.2,12.1536662293785,14.0554899263831,13.810728592597,14.3987184634165,0.856596207418809,0.876785908950974,0.830541273502056,35.54483
2021-10-25,"nein",42,48,47.1,49.4,3.5213276471032,3.99571422033313,3.92988524651488,4.08557599411677,0.874421674274115,0.892546146144022,0.8503711833503,95.70254
2021-10-24,"alle",82,95.9,93.8,99,5.81344982379456,6.60127513412269,6.50070169025101,6.74070649949024,NA,NA,NA,131.24737
