Bundesland,Altersgruppe,Meldedatum,Kalenderjahr,Kalenderwoche,Neuerkrankung,Hospitalisierung,index,population
Sachsen-Anhalt,60-79,2020-01-05,2020,1,0,0,1,585321
Sachsen-Anhalt,80+,2020-01-05,2020,1,0,0,1,191330
Schleswig-Holstein,00-04,2020-01-05,2020,1,0,0,1,129800
Schleswig-Holstein,05-14,2020-01-05,2020,1,0,0,1,261702
Schleswig-Holstein,15-34,2020-01-05,2020,1,0,0,1,627902
Schleswig-Holstein,35-59,2020-01-05,2020,1,0,0,1,1006281
Schleswig-Holstein,60-79,2020-01-05,2020,1,0,0,1,663225
Schleswig-Holstein,80+,2020-01-05,2020,1,0,0,1,220518
Thueringen,00-04,2020-01-05,2020,1,0,0,1,87718
Thueringen,05-14,2020-01-05,2020,1,0,0,1,184533
Thueringen,15-34,2020-01-05,2020,1,0,0,1,386793
Thueringen,35-59,2020-01-05,2020,1,0,0,1,720476
Thueringen,60-79,2020-01-05,2020,1,0,0,1,558709
Thueringen,80+,2020-01-05,2020,1,0,0,1,179123
Baden-Wuerttemberg,00-04,2020-01-12,2020,2,0,0,2,549986
Baden-Wuerttemberg,05-14,2020-01-12,2020,2,0,0,2,1014378
Baden-Wuerttemberg,15-34,2020-01-12,2020,2,0,0,2,2678250
Baden-Wuerttemberg,35-59,2020-01-12,2020,2,0,0,2,3822725
Baden-Wuerttemberg,60-79,2020-01-12,2020,2,0,0,2,2286835
Baden-Wuerttemberg,80+,2020-01-12,2020,2,0,0,2,751989
Bayern,00-04,2020-01-12,2020,2,0,0,2,650503
Bayern,05-14,2020-01-12,2020,2,0,0,2,1157241
Bayern,15-34,2020-01-12,2020,2,0,0,2,3103465
Bayern,35-59,2020-01-12,2020,2,0,0,2,4601435
Bayern,60-79,2020-01-12,2020,2,0,0,2,2743938
Bayern,80+,2020-01-12,2020,2,0,0,2,871866
Berlin,00-04,2020-01-12,2020,2,0,0,2,191397
Berlin,05-14,2020-01-12,2020,2,0,0,2,332599
Berlin,15-34,2020-01-12,2020,2,0,0,2,947650
Berlin,35-59,2020-01-12,2020,2,0,0,2,1275540
Berlin,60-79,2020-01-12,2020,2,0,0,2,694774
Berlin,80+,2020-01-12,2020,2,0,0,2,221362
Brandenburg,00-04,2020-01-12,2020,2,0,0,2,108401
Brandenburg,05-14,2020-01-12,2020,2,0,0,2,231502
Brandenburg,15-34,2020-01-12,2020,2,0,0,2,435611
Brandenburg,35-59,2020-01-12,2020,2,0,0,2,908807
Brandenburg,60-79,2020-01-12,2020,2,0,0,2,638658
Brandenburg,80+,2020-01-12,2020,2,0,0,2,208572
Bremen,00-04,2020-01-12,2020,2,0,0,2,34034
Bremen,05-14,2020-01-12,2020,2,0,0,2,60178
Bremen,15-34,2020-01-12,2020,2,0,0,2,172904
Bremen,35-59,2020-01-12,2020,2,0,0,2,225427
Bremen,60-79,2020-01-12,2020,2,0,0,2,140249
Bremen,80+,2020-01-12,2020,2,0,0,2,47379
Hamburg,00-04,2020-01-12,2020,2,0,0,2,99224
Hamburg,05-14,2020-01-12,2020,2,0,0,2,166713
Hamburg,15-34,2020-01-12,2020,2,0,0,2,493650
Hamburg,35-59,2020-01-12,2020,2,0,0,2,654824
Hamburg,60-79,2020-01-12,2020,2,0,0,2,325912
Hamburg,80+,2020-01-12,2020,2,0,0,2,112515
Hessen,00-04,2020-01-12,2020,2,0,0,2,304428
Hessen,05-14,2020-01-12,2020,2,0,0,2,579964
Hessen,15-34,2020-01-12,2020,2,0,0,2,1469929
Hessen,35-59,2020-01-12,2020,2,0,0,2,2193749
Hessen,60-79,2020-01-12,2020,2,0,0,2,1320559
Hessen,80+,2020-01-12,2020,2,0,0,2,422139
Mecklenburg-Vorpommern,00-04,2020-01-12,2020,2,0,0,2,66216
Mecklenburg-Vorpommern,05-14,2020-01-12,2020,2,0,0,2,140750
Mecklenburg-Vorpommern,15-34,2020-01-12,2020,2,0,0,2,295487
Mecklenburg-Vorpommern,35-59,2020-01-12,2020,2,0,0,2,554265
Mecklenburg-Vorpommern,60-79,2020-01-12,2020,2,0,0,2,420800
Mecklenburg-Vorpommern,80+,2020-01-12,2020,2,0,0,2,133378
Niedersachsen,00-04,2020-01-12,2020,2,0,0,2,380629
Niedersachsen,05-14,2020-01-12,2020,2,0,0,2,724185
Niedersachsen,15-34,2020-01-12,2020,2,0,0,2,1803724
Niedersachsen,35-59,2020-01-12,2020,2,0,0,2,2728615
Niedersachsen,60-79,2020-01-12,2020,2,0,0,2,1769714
Niedersachsen,80+,2020-01-12,2020,2,0,0,2,580572
Nordrhein-Westfalen,00-04,2020-01-12,2020,2,0,0,2,875319
Nordrhein-Westfalen,05-14,2020-01-12,2020,2,0,0,2,1649725
Nordrhein-Westfalen,15-34,2020-01-12,2020,2,0,0,2,4197591
Nordrhein-Westfalen,35-59,2020-01-12,2020,2,0,0,2,6141151
Nordrhein-Westfalen,60-79,2020-01-12,2020,2,0,0,2,3823400
Nordrhein-Westfalen,80+,2020-01-12,2020,2,0,0,2,1262725
Rheinland-Pfalz,00-04,2020-01-12,2020,2,0,0,2,195044
Rheinland-Pfalz,05-14,2020-01-12,2020,2,0,0,2,366538
Rheinland-Pfalz,15-34,2020-01-12,2020,2,0,0,2,916852
Rheinland-Pfalz,35-59,2020-01-12,2020,2,0,0,2,1404114
Rheinland-Pfalz,60-79,2020-01-12,2020,2,0,0,2,923831
Rheinland-Pfalz,80+,2020-01-12,2020,2,0,0,2,293640
Saarland,00-04,2020-01-12,2020,2,0,0,2,41350
Saarland,05-14,2020-01-12,2020,2,0,0,2,80000
Saarland,15-34,2020-01-12,2020,2,0,0,2,212117
Saarland,35-59,2020-01-12,2020,2,0,0,2,330038
Saarland,60-79,2020-01-12,2020,2,0,0,2,243324
Saarland,80+,2020-01-12,2020,2,0,0,2,78108
Sachsen,00-04,2020-01-12,2020,2,0,0,2,180790
Sachsen,05-14,2020-01-12,2020,2,0,0,2,366870
Sachsen,15-34,2020-01-12,2020,2,0,0,2,785543
Sachsen,35-59,2020-01-12,2020,2,0,0,2,1357685
Sachsen,60-79,2020-01-12,2020,2,0,0,2,1009578
